"feature_name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","maximum_absolute_loading","feature_set"
"F2125_mz227.1434_rt1.54",0.000687899268325163,-0.0129972220554137,-0.0436625541062846,0.0154688685568268,-0.00458029714905526,-0.0284523756433824,0.00503947834152378,6.73967041390752e-05,0.00592450895943037,0.000727820587709386,0.00538296551262028,-6.5705158643415e-05,-0.00372949879860885,0.00171667030681259,0.00893196063257836,-0.000960962449146576,-0.00278097077724111,0.00603849829038864,0.0111199918811742,0.00128946485027897,0.00459025265190446,-0.000670686835874427,0.00165919001907477,-0.0100946458952386,0.0436625541062846,"Top_4144"
"F2323_mz244.095_rt1.18",0.00964055154228523,0.00229426392851115,-0.0435927245484955,0.00264961043113927,0.01924702508535,-0.0190827621782874,0.00463185507511788,-0.00119622252404533,-0.00939121735355381,0.0146041670250251,-0.00782256118516809,0.00665946474594699,0.00685827318683401,-0.00753737905375498,0.0200016008594263,-0.007626232427538,0.00470670758486624,0.0112060141837417,-0.00326324303971449,0.00381535593987287,0.0038860315989118,-0.00384576044274426,0.00171439674213728,-0.000245497578204141,0.0435927245484955,"Top_4144"
"F3172_mz305.1348_rt0.66",-0.00117501350761131,0.000408475910796307,-0.043106670677277,-0.00767336240570904,0.0337041619191763,0.0113615686464241,0.0109802526178132,-0.00815193304615174,0.0196509037024386,0.00268460446426024,0.00620817776832408,0.0021102712136997,-0.0459534509963618,0.0168310635558186,-0.023105445212842,0.0291954599695284,0.0210949593033991,0.0063272556428313,0.0081109149398719,-0.00872337676668149,0.00676465580233622,0.000765417405383629,0.00167582287149875,0.0050110327211713,0.043106670677277,"Top_4144"
"F259_mz97.0286_rt1.01",0.00328097100030664,-0.00798735960976297,-0.0430626226830808,0.000444099700221791,-0.0248325291554167,-0.0132678300928407,0.00550850702562268,0.0152286604419469,-0.00649611545517538,-0.0124010285059135,-0.0172033417790832,-0.0177314550426673,0.00320329006198684,0.0504253493686918,0.015410692690129,-0.00638992969604235,0.00852644369503752,-0.0169439589809115,0.0101287448698454,0.0269187381159387,0.00768086180046607,0.0278888179281337,0.0493427769660473,0.0173021764648889,0.0430626226830808,"Top_4144"
"F2020_mz219.1747_rt1.58",0.000526154492570877,-0.011929600835969,-0.042644501001986,0.0156387517649016,-0.00139277610201074,-0.0263401440779109,0.00368471680476831,-0.0167812375706132,0.0162712860772801,-0.000599683705374047,0.0229548630461038,-0.0176282176739469,0.0106565260853319,0.00420179845859035,-0.0242873109791628,0.00773223396998831,-0.0151317945603466,0.0170585622427847,-0.00630445546458242,-0.0138045644160706,0.0167370919114544,0.00447552021563877,-0.0017840801418407,-0.00598666437610144,0.042644501001986,"Top_4144"
"F3243_mz312.0542_rt1",0.00269799091161529,-0.013902507903427,-0.0425140861653808,0.016121865729578,-0.00317946335170224,-0.0233828019000217,0.00615023200964891,0.00846909765905204,-0.0123657391137671,0.00622410824201756,-0.00131141018777077,0.00493175145758694,0.00595333048644235,-0.0021021611492626,0.00974712149595137,-0.000791368786458733,-0.00755350751912203,-0.0133207755939406,0.000800963563313397,0.00426634852143628,0.00319314984099809,-0.000838785101502174,0.000920242941131859,-0.00481859898937744,0.0425140861653808,"Top_4144"
"F3857_mz367.1217_rt1.32",0.00168259595646831,-0.0134236740103257,-0.0424166946279658,0.0168876841288548,-0.0106484054003109,-0.0228150558481908,0.00844799317435027,0.00218404981774248,0.00148994185473461,0.000764819513689488,0.00272890023618252,0.0023670337258279,-0.00443992499753645,-0.00561379533339943,0.0212276623803197,-0.0092602832065674,0.00227915613406031,0.00728512717120401,-0.0180676292834756,0.00866620947213807,0.00445164338180614,-0.000748256444068971,0.00152367007299139,-0.00726710580759894,0.0424166946279658,"Top_4144"
"F3348_mz319.0188_rt0.42",-0.00492656200559412,-0.00478924350878384,0.0423987901388535,0.0095092996658239,-0.0240949621903853,0.00579899444051373,-0.0281707070853243,-0.0290776769593271,-0.0229270406077929,0.021189925688238,-0.02982777383379,0.00924018454121954,-0.00802106647056903,0.0101202849392675,-0.0049741807480651,0.0096500223163462,0.0291543770078327,-0.00172881831270979,-0.00570959305500261,0.00020323712161585,-0.00163471882931974,0.00296139721539759,-0.00348735405535889,0.00393650090475109,0.0423987901388535,"Top_4144"
"F1700_mz198.0976_rt0.69",0.00987553300397495,0.00925846732664871,0.0421821896139289,0.00257634652163811,-0.00391771005004592,-0.00795855113048397,0.0236945766935607,0.0127160536399654,0.0109976480831235,-0.00576070347060275,0.0152270296477011,-0.0160196085374466,0.00111916311699105,0.00124895712025036,-0.000294853925681059,-0.00623094749704689,-0.00200545634543674,0.00207134782934078,0.00422699633441205,0.012800587718867,-0.0163691502854617,-0.00151425613768872,-0.00913469911470813,0.0039191965762619,0.0421821896139289,"Top_4144"
"F1358_mz174.0553_rt0.89",0.00313427610427919,-0.0149849746660543,-0.0420821274381,0.014551253819831,0.00499421777924989,-0.0104137614350052,0.0192406724279339,0.000150972364276553,0.00124268465822659,0.0174471019481792,0.00629096791631565,0.000960810515261731,0.00662292380954548,0.00121485087426353,-0.00737100845389404,-0.000897188593198901,-0.00526275321967812,-0.0160796028172458,-0.0045733660212313,0.00131870352346443,0.00360048932406485,-0.000362605918714606,0.000855218979555527,-0.00576272200362592,0.0420821274381,"Top_4144"
