"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F724_mz130.05_rt0.76",-2.01099466956925,25.0897932636356,-2.98719929189444,0.0300421898552938,0.106386641721063,-3.75141327245292,724,0.759,130.05005,"Unknown","[M+H]+","found in higher mz's MsMs_2722; similar chromatogram in higher mz_3818; similar chromatogram in higher mz_4437",0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",6479.39,30006.3333333333,2740.10729599431,24,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F4365_mz440.2505_rt1.17",1.48792309011468,14.0668911676964,2.9868442509931,0.0300545779388284,0.106386641721063,-3.75185697086178,4365,1.172,440.25055,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",24.23,0,104278,13,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F1110_mz157.0353_rt0.6",0.995343658929462,25.5595172510948,2.98413388026261,0.0301493361929089,0.106460864429786,-3.75524470704771,1110,0.597,157.03526,"Unknown","[M+H]+","ion correlated with 1109",0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",730.66,306835,347.714951961308,24,"Fungi old vs Fungal control","Fungi old","Not selected"
"F3048_mz297.1453_rt1.04",0.926112771376878,17.6409104095043,2.98278193377247,0.0301967266280311,0.106460864429786,-3.75693489461832,3048,1.04,297.14532,"Unknown","[M+H]+","ion correlated with 1529; ion correlated with 1561; ion correlated with 3639; ion correlated with 3678; ion correlated with 2029; ion correlated with 3734; ion correlated with 1729",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",17.31,711.666666666667,340.734331150608,15,"Fungi old vs Fungal control","Fungi old","Not selected"
"F3412_mz326.1718_rt0.97",0.745872425986335,17.4763803851916,2.98099213370028,0.0302595932181879,0.106460864429786,-3.75917285769961,3412,0.971,326.17178,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",26.22,3263.66666666667,127.472432101287,24,"Fungi old vs Fungal control","Fungi old","Not selected"
"F3408_mz325.1135_rt0.55",-1.26323258478432,21.3403493383941,-2.9808888638944,0.0302632250141967,0.106460864429786,-3.75930199916363,3408,0.546,325.11353,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1156.12,0,6393057,18,"Fungi old vs Fungal control","Fungal control","Fungal control enriched - exploratory"
"F3476_mz332.1458_rt0.46",-0.935312310252811,18.5206995180609,-2.97860786105469,0.0303435674886199,0.106465516547022,-3.76215481323566,3476,0.462,332.14584,"Unknown","[M+H]+",NA,0.393,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",3241.03,0,644070,17,"Fungi old vs Fungal control","Fungal control","Not selected"
"F345_mz102.9991_rt0.64",1.02847228977898,17.3656824138052,2.97734467105427,0.0303881624394151,0.106465516547022,-3.76373496370458,345,0.638,102.99911,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",125.66,6996.33333333333,32.557402820122,24,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
"F3401_mz324.156_rt0.97",0.703821726923683,18.1930619699009,2.97685942302093,0.0304053127908639,0.106465516547022,-3.76434202706647,3401,0.973,324.15604,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",30.53,2181.66666666667,224.269700671961,23,"Fungi old vs Fungal control","Fungi old","Not selected"
"F2790_mz278.1239_rt0.49",1.37072409564781,22.7358824341443,2.97373449025999,0.030516017680295,0.106688511735885,-3.76825218580117,2790,0.488,278.12387,"Unknown","[M+H]+","ion correlated with 873; ion correlated with 2042; ion correlated with 2814",0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1161.45,0,11255706,14,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - exploratory"
